Text,Block1Type,Block1Stim,Block1Corr,Block2Type,Block2Stim,Block2Corr,Block3Type,Block3Stim,Block3Corr,Instruction_loop.thisRepN,Instruction_loop.thisTrialN,Instruction_loop.thisN,Instruction_loop.thisIndex,Block1_loop.thisRepN,Block1_loop.thisTrialN,Block1_loop.thisN,Block1_loop.thisIndex,Block2_loop.thisRepN,Block2_loop.thisTrialN,Block2_loop.thisN,Block2_loop.thisIndex,Block3_loop.thisRepN,Block3_loop.thisTrialN,Block3_loop.thisN,Block3_loop.thisIndex,welcome_text1.started,welcome_text1.stopped,welcome_text2.started,welcome_text2.stopped,welcome_text3.started,welcome_text3.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,instruct_text1.started,instruct_text1.stopped,instruct_text2.started,instruct_text2.stopped,instruct_resp1.keys,instruct_resp1.rt,instruct_resp1.started,instruct_resp1.stopped,start_text1.started,start_text1.stopped,start_text2.started,start_text2.stopped,start_resp1.keys,start_resp1.rt,start_resp1.started,start_resp1.stopped,image1.started,image1.stopped,text1.started,text1.stopped,key_resp1.keys,key_resp1.corr,key_resp1.rt,key_resp1.started,key_resp1.stopped,trialCorrect,feedback_text1.started,feedback_text1.stopped,break_text1.started,break_text1.stopped,break_resp1.keys,break_resp1.rt,break_resp1.started,break_resp1.stopped,start_text3.started,start_text3.stopped,start_text4.started,start_text4.stopped,start_resp2.keys,start_resp2.rt,start_resp2.started,start_resp2.stopped,image2.started,image2.stopped,text2.started,text2.stopped,key_resp2.keys,key_resp2.corr,key_resp2.rt,key_resp2.started,key_resp2.stopped,feedback_text2.started,feedback_text2.stopped,break_text2.started,break_text2.stopped,break_resp2.keys,break_resp2.rt,break_resp2.started,break_resp2.stopped,start_text5.started,start_text5.stopped,start_text6.started,start_text6.stopped,start_resp3.keys,start_resp3.rt,start_resp3.started,start_resp3.stopped,image3.started,image3.stopped,text3.started,text3.stopped,key_resp3.keys,key_resp3.corr,key_resp3.rt,key_resp3.started,key_resp3.stopped,feedback_text3.started,feedback_text3.stopped,end_text1.started,end_text1.stopped,end_text2.started,end_text2.stopped,end_resp.keys,end_resp.rt,end_resp.started,end_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,Cond,stimuli/Small/10.jpg,right,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.961522910001804,None,55.961522910001804,None,right,1,1.8472203199999058,55.961522910001804,None,1,57.82831737000015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Feb_23_1602,cal_abstract,2020.2.10,59.93744927699402,
,Fix1,stimuli/School/25.jpg,left,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.59504306999952,None,58.59504306999952,None,right,0,5.093453948000388,58.59504306999952,None,0,63.712158130001626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Feb_23_1602,cal_abstract,2020.2.10,59.93744927699402,
,Fix2,stimuli/Dangerous/30.jpg,right,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.47888247000083,None,64.47888247000083,None,right,1,2.8113290750006854,64.47888247000083,None,1,67.31228835000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Feb_23_1602,cal_abstract,2020.2.10,59.93744927699402,
,Fix2,stimuli/Dangerous/42.jpg,right,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.07852937700227,None,68.07852937700227,None,right,1,1.1402617729982012,68.07852937700227,None,1,69.24529994499972,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Feb_23_1602,cal_abstract,2020.2.10,59.93744927699402,
,Cond,stimuli/Small/4.jpg,left,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.01251094500185,None,70.01251094500185,None,left,1,2.3370961849977903,70.01251094500185,None,1,72.37930618500104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Feb_23_1602,cal_abstract,2020.2.10,59.93744927699402,
,Fix2,stimuli/Dangerous/44.jpg,right,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.14626761700129,None,73.14626761700129,None,right,1,1.5010303000017302,73.14626761700129,None,1,74.67941529200107,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Feb_23_1602,cal_abstract,2020.2.10,59.93744927699402,
,Cond,stimuli/Small/39.jpg,left,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.44621259999985,None,75.44621259999985,None,left,1,1.149143329999788,75.44621259999985,None,1,76.61316638700009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Feb_23_1602,cal_abstract,2020.2.10,59.93744927699402,
,Fix2,stimuli/Dangerous/34.jpg,right,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.37992100500196,None,77.37992100500196,None,right,1,1.355197644999862,77.37992100500196,None,1,78.76311280700247,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Feb_23_1602,cal_abstract,2020.2.10,59.93744927699402,
,Cond,stimuli/Small/13.jpg,left,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.52989272700142,None,79.52989272700142,None,left,1,1.6992113619999145,79.52989272700142,None,1,81.24609898500057,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Feb_23_1602,cal_abstract,2020.2.10,59.93744927699402,
,Fix2,stimuli/Dangerous/6.jpg,right,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.01333120700292,None,82.01333120700292,None,right,1,2.5495455029995355,82.01333120700292,None,1,84.57965852599955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Feb_23_1602,cal_abstract,2020.2.10,59.93744927699402,
