Text,Block1Type,Block1Stim,Block1Corr,Block2Type,Block2Stim,Block2Corr,Block3Type,Block3Stim,Block3Corr,Instruction_loop.thisRepN,Instruction_loop.thisTrialN,Instruction_loop.thisN,Instruction_loop.thisIndex,Block1_loop.thisRepN,Block1_loop.thisTrialN,Block1_loop.thisN,Block1_loop.thisIndex,Block2_loop.thisRepN,Block2_loop.thisTrialN,Block2_loop.thisN,Block2_loop.thisIndex,Block3_loop.thisRepN,Block3_loop.thisTrialN,Block3_loop.thisN,Block3_loop.thisIndex,welcome_text1.started,welcome_text1.stopped,welcome_text2.started,welcome_text2.stopped,welcome_text3.started,welcome_text3.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,instruct_text1.started,instruct_text1.stopped,instruct_text2.started,instruct_text2.stopped,instruct_resp1.keys,instruct_resp1.rt,instruct_resp1.started,instruct_resp1.stopped,start_text1.started,start_text1.stopped,start_text2.started,start_text2.stopped,start_resp1.keys,start_resp1.rt,start_resp1.started,start_resp1.stopped,image1.started,image1.stopped,text1.started,text1.stopped,key_resp1.keys,key_resp1.corr,key_resp1.rt,key_resp1.started,key_resp1.stopped,trialCorrect,feedback_text1.started,feedback_text1.stopped,break_text1.started,break_text1.stopped,break_resp1.keys,break_resp1.rt,break_resp1.started,break_resp1.stopped,start_text3.started,start_text3.stopped,start_text4.started,start_text4.stopped,start_resp2.keys,start_resp2.rt,start_resp2.started,start_resp2.stopped,image2.started,image2.stopped,text2.started,text2.stopped,key_resp2.keys,key_resp2.corr,key_resp2.rt,key_resp2.started,key_resp2.stopped,feedback_text2.started,feedback_text2.stopped,break_text2.started,break_text2.stopped,break_resp2.keys,break_resp2.rt,break_resp2.started,break_resp2.stopped,start_text5.started,start_text5.stopped,start_text6.started,start_text6.stopped,start_resp3.keys,start_resp3.rt,start_resp3.started,start_resp3.stopped,image3.started,image3.stopped,text3.started,text3.stopped,key_resp3.keys,key_resp3.corr,key_resp3.rt,key_resp3.started,key_resp3.stopped,feedback_text3.started,feedback_text3.stopped,end_text1.started,end_text1.stopped,end_text2.started,end_text2.stopped,end_resp.keys,end_resp.rt,end_resp.started,end_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
None,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,33.31333841500009,None,33.31333841500009,None,return,0.8300069449999228,33.31333841500009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friend 2,001,2021_Feb_23_2046,cal_abstract,2021.1.0,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.20163255500006,None,34.20163255500006,None,s,95.5759801700001,34.20163255500006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friend 2,001,2021_Feb_23_2046,cal_abstract,2021.1.0,None,
,Fix2,stimuli/Dangerous/15.jpg,right,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.98075777600002,None,129.98075777600002,None,right,1,4.373302452999951,129.98075777600002,None,1,134.42389313600006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friend 2,001,2021_Feb_23_2046,cal_abstract,2021.1.0,None,
,Fix1,stimuli/School/26.jpg,left,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.1962197790001,None,135.1962197790001,None,left,1,11.30134900400003,135.1962197790001,None,1,146.5640072990002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friend 2,001,2021_Feb_23_2046,cal_abstract,2021.1.0,None,
,Cond,stimuli/Small/10.jpg,right,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.36833523200016,None,147.36833523200016,None,left,0,5.4468585619999885,147.36833523200016,None,0,152.8653607980002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friend 2,001,2021_Feb_23_2046,cal_abstract,2021.1.0,None,
,Fix1,stimuli/School/25.jpg,left,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.69607664,None,153.69607664,None,right,0,2.7489417020001383,153.69607664,None,0,156.4961261540002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friend 2,001,2021_Feb_23_2046,cal_abstract,2021.1.0,None,
,Fix2,stimuli/Dangerous/30.jpg,right,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.33078409400014,None,157.33078409400014,None,right,1,3.309623515999874,157.33078409400014,None,1,160.698469617,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friend 2,001,2021_Feb_23_2046,cal_abstract,2021.1.0,None,
,Fix2,stimuli/Dangerous/42.jpg,right,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.53021649700008,None,161.53021649700008,None,right,1,11.489418046999845,161.53021649700008,None,1,173.09578328500015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friend 2,001,2021_Feb_23_2046,cal_abstract,2021.1.0,None,
,Cond,stimuli/Small/4.jpg,left,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.91385239600004,None,173.91385239600004,None,left,1,6.401391745999945,173.91385239600004,None,1,180.38470602200005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friend 2,001,2021_Feb_23_2046,cal_abstract,2021.1.0,None,
,Fix2,stimuli/Dangerous/44.jpg,right,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.19570415500016,None,181.19570415500016,None,right,1,2.953165922999915,181.19570415500016,None,1,184.17860570400012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friend 2,001,2021_Feb_23_2046,cal_abstract,2021.1.0,None,
